ID,Symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B
10257,ABCC4,0.24787564,9.906384545,0.712546202,0.477705796,0.659368448,-6.369878266
8776,MTMR1,-0.091091224,11.57210902,-0.712516981,0.477723809,0.659368448,-6.369898818
521,ATP5ME,-0.138121157,12.35789166,-0.712514869,0.477725111,0.659368448,-6.369900304
389203,SMIM20,-0.198110816,10.34761192,-0.712513225,0.477726124,0.659368448,-6.369901461
5867 /// 10638,,0.165803413,11.38903925,0.712486025,0.477742891,0.659368448,-6.36992059
101926928,CRAT37,0.334672633,2.919606849,0.712465199,0.477755729,0.659368448,-6.369935237
27309,ZNF330,0.13108735,11.60989967,0.712440583,0.477770904,0.659368448,-6.369952549
84650,EBPL,-0.21380905,11.35291981,-0.711963463,0.478065082,0.659732829,-6.370287976
166378,SPATA5,-0.131596097,8.276409054,-0.711784481,0.478175463,0.659779454,-6.370413748
29114,TAGLN3,0.204443329,6.580112245,0.711783103,0.478176313,0.659779454,-6.370414716
6827,SUPT4H1,0.174431961,9.969438901,0.711761994,0.478189332,0.659779454,-6.370429547
7572,ZNF24,0.101593464,11.52299554,0.711676592,0.478242006,0.659810524,-6.370489546
9242,MSC,0.239010191,5.832702432,0.71143195,0.478392915,0.659977111,-6.370661381
100192386,FLJ16779,0.250537943,3.428111777,0.711281107,0.478485976,0.660063878,-6.370767302
4291,MLF1,-0.340940691,9.152763513,-0.711148913,0.478567541,0.660106714,-6.370860111
9177,HTR3B,0.287339433,4.926254696,0.711132987,0.478577368,0.660106714,-6.37087129
285368,PRRT3,-0.203675778,7.82164674,-0.711057089,0.478624202,0.660122687,-6.370924567
441061,MARCHF11,-0.334614808,5.266021751,-0.711016435,0.478649288,0.660122687,-6.370953101
27069,GHITM,-0.182690663,11.81241178,-0.710642541,0.478880047,0.660399308,-6.371215456
5439 /// 84820 /// 246721 /// 548644 /// 100134938,,-0.182250783,7.054491731,-0.710531784,0.478948415,0.660451964,-6.371293146
9940,DLEC1,-0.259564831,7.898783072,-0.710416225,0.479019753,0.660489189,-6.371374192
84326,METTL26,0.101047301,8.883076396,0.710390259,0.479035783,0.660489189,-6.371392401
550643,NBDY,-0.194252539,10.08967582,-0.710294753,0.479094748,0.660528864,-6.37145937
64180,DPEP3,-0.323159938,4.66787116,-0.710233798,0.479132383,0.66053913,-6.371502107
54504,CPVL,-0.311864872,8.051655907,-0.709746079,0.479433571,0.66091271,-6.371843931
100293704 /// 102466877,,0.231468508,5.101436007,0.709501187,0.479584842,0.661079591,-6.372015479
26651,OR7E19P,0.26258098,4.238469797,0.709390797,0.47965304,0.661131946,-6.372092789
10548 /// 29082,,-0.158528908,12.06308839,-0.709316092,0.479699194,0.661142463,-6.3721451
